age,workclass,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,salary
39,5,77516,13,2174,0,40,0
50,1,83311,13,0,0,13,0
38,0,215646,9,0,0,40,0
53,0,234721,7,0,0,40,0
28,0,338409,13,0,0,40,0
37,0,284582,14,0,0,40,0
49,0,160187,5,0,0,16,0
52,1,209642,9,0,0,45,1
31,0,45781,14,14084,0,50,1
42,0,159449,13,5178,0,40,1
37,0,280464,10,0,0,80,1
30,5,141297,13,0,0,40,1
23,0,122272,13,0,0,30,0
32,0,205019,12,0,0,50,0
40,0,121772,11,0,0,40,1
34,0,245487,4,0,0,45,0
25,1,176756,9,0,0,35,0
32,0,186824,9,0,0,40,0
38,0,28887,7,0,0,50,0
43,1,292175,14,0,0,45,1
40,0,193524,16,0,0,60,1
54,0,302146,9,0,0,20,0
35,3,76845,5,0,0,40,0
43,0,117037,7,0,2042,40,0
59,0,109015,9,0,0,40,0
56,4,216851,13,0,0,40,1
19,0,168294,9,0,0,40,0
54,0,180211,10,0,0,60,1
39,0,367260,9,0,0,80,0
49,0,193366,9,0,0,40,0
23,4,190709,12,0,0,52,0
20,0,266015,10,0,0,44,0
45,0,386940,13,0,1408,40,0
30,3,59951,10,0,0,40,0
22,5,311512,10,0,0,15,0
48,0,242406,7,0,0,40,0
21,0,197200,10,0,0,40,0
19,0,544091,9,0,0,25,0
31,0,84154,10,0,0,38,1
48,1,265477,12,0,0,40,0
31,0,507875,5,0,0,43,0
53,1,88506,13,0,0,40,0
24,0,172987,13,0,0,50,0
49,0,94638,9,0,0,40,0
25,0,289980,9,0,0,35,0
57,3,337895,13,0,0,40,1
53,0,144361,9,0,0,38,0
44,0,128354,14,0,0,40,0
41,5,101603,11,0,0,40,0
29,0,271466,11,0,0,43,0
25,0,32275,10,0,0,40,0
18,0,226956,9,0,0,30,0
47,0,51835,15,0,1902,60,1
50,3,251585,13,0,0,55,1
47,2,109832,9,0,0,60,0
43,0,237993,10,0,0,40,1
46,0,216666,3,0,0,40,0
35,0,56352,11,0,0,40,0
41,0,147372,9,0,0,48,0
30,0,188146,9,5013,0,40,0
30,0,59496,13,2407,0,40,0
32,0,293936,4,0,0,40,0
48,0,149640,9,0,0,40,0
42,0,116632,16,0,0,45,1
29,0,105598,10,0,0,58,0
36,0,155537,9,0,0,40,0
28,0,183175,10,0,0,40,0
53,0,169846,9,0,0,40,1
49,2,191681,10,0,0,50,1
25,0,200681,10,0,0,40,0
19,0,101509,10,0,0,32,0
31,0,309974,13,0,0,40,0
29,1,162298,13,0,0,70,1
23,0,211678,10,0,0,40,0
79,0,124744,10,0,0,20,0
27,0,213921,9,0,0,40,0
40,0,32214,12,0,0,40,0
67,0,212759,6,0,0,2,0
18,0,309634,7,0,0,22,0
31,4,125927,4,0,0,40,0
18,0,446839,9,0,0,30,0
52,0,276515,13,0,0,40,0
46,0,51618,9,0,0,40,0
59,0,159937,9,0,0,48,0
44,0,343591,9,14344,0,40,1
53,0,346253,9,0,0,35,0
49,4,268234,9,0,0,40,1
33,0,202051,14,0,0,50,0
30,0,54334,5,0,0,40,0
43,3,410867,16,0,0,50,1
57,0,249977,11,0,0,40,0
37,0,286730,10,0,0,40,0
28,0,212563,10,0,0,25,0
30,0,117747,9,0,1573,35,0
34,4,226296,13,0,0,40,1
29,4,115585,10,0,0,50,0
48,1,191277,16,0,1902,60,1
37,0,202683,10,0,0,48,1
48,0,171095,12,0,0,40,0
32,3,249409,9,0,0,40,0
76,0,124191,14,0,0,40,1
44,0,198282,13,15024,0,60,1
47,1,149116,14,0,0,50,0
20,0,188300,10,0,0,40,0
29,0,103432,9,0,0,40,0
32,2,317660,9,7688,0,40,1
17,0,304873,6,34095,0,32,0
30,0,194901,7,0,0,40,0
31,4,189265,9,0,0,40,0
42,0,124692,9,0,0,40,0
24,0,432376,13,0,0,40,0
38,0,65324,15,0,0,40,1
56,1,335605,9,0,1887,50,1
28,0,377869,10,4064,0,25,0
36,0,102864,9,0,0,40,0
53,0,95647,5,0,0,50,0
56,2,303090,10,0,0,50,0
49,4,197371,11,0,0,40,1
55,0,247552,10,0,0,56,0
22,0,102632,9,0,0,41,0
21,0,199915,10,0,0,40,0
40,0,118853,13,0,0,60,0
30,0,77143,13,0,0,40,0
29,5,267989,13,0,0,50,1
19,0,301606,10,0,0,35,0
47,0,287828,13,0,0,40,1
20,0,111697,10,0,1719,28,0
31,0,114937,12,0,0,40,1
35,0,129305,9,0,0,40,0
39,0,365739,10,0,0,40,0
28,0,69621,12,0,0,60,0
24,0,43323,9,0,1762,40,0
38,1,120985,9,4386,0,35,0
37,0,254202,13,0,0,50,0
46,0,146195,12,0,0,36,0
38,3,125933,14,0,0,40,1
43,1,56920,9,0,0,60,0
27,0,163127,11,0,0,35,0
20,0,34310,10,0,0,20,0
49,0,81973,10,0,0,40,1
61,2,66614,9,0,0,40,0
27,0,232782,10,0,0,40,0
19,0,316868,10,0,0,30,0
45,0,196584,11,0,1564,40,1
70,0,105376,10,0,0,40,0
31,0,185814,9,0,0,30,0
22,0,175374,10,0,0,24,0
36,0,108293,9,0,0,24,0
64,0,181232,7,0,2179,40,0
43,0,174662,10,0,0,40,0
47,4,186009,10,0,0,38,0
34,0,198183,9,0,0,40,0
33,0,163003,13,0,0,40,0
21,0,296158,9,0,0,35,0
52,0,252903,9,0,0,45,1
48,0,187715,9,0,0,46,0
23,0,214542,13,0,0,40,0
71,1,494223,10,0,1816,2,0
29,0,191535,9,0,0,60,0
42,0,228456,13,0,0,50,0
68,0,38317,2,0,0,20,0
25,0,252752,9,0,0,40,0
44,2,78374,14,0,0,40,0
28,0,88419,9,0,0,40,0
45,1,201080,14,0,0,40,1
36,0,207157,10,0,0,40,0
39,3,235485,12,0,0,42,0
46,5,102628,14,0,0,40,0
18,0,25828,7,0,0,16,0
66,4,54826,11,0,0,20,0
27,0,124953,9,0,1980,40,0
28,5,175325,9,0,0,40,0
51,0,96062,10,0,1977,40,1
